estimand,mean,ci_low,ci_high,n_seeds
"P_active|DROP,D",0.8333333333333334,0.5,1.0,6.0
"P_active|DROP,N",0.16666666666666666,0.0,0.5,6.0
"P_active|DROP,V",0.8333333333333334,0.5,1.0,6.0
"P_active|RETRACT,D",0.0,0.0,0.0,0.0
"P_active|RETRACT,N",0.0,0.0,0.0,0.0
"P_active|RETRACT,V",0.0,0.0,0.0,0.0
"P_active|REPEAT,D",0.45454545454545453,0.23076923076923078,0.7272727272727273,8.0
"P_active|REPEAT,N",0.2727272727272727,0.0,0.5,8.0
"P_active|REPEAT,V",0.9090909090909091,0.6666666666666666,1.0,8.0
"P_active|DEPEND,D",0.75,0.4,0.9444444444444444,9.0
"P_active|DEPEND,N",0.46153846153846156,0.18181818181818182,0.6923076923076923,9.0
"P_active|DEPEND,V",1.0,1.0,1.0,9.0
