action,state,count,n,rate,wilson_lo,wilson_hi,wilson_note
D,DROP,0,10,0.0,0.0,0.2775401687666165,descriptive only; inference is paired by seed
D,RETRACT,0,10,0.0,0.0,0.2775401687666165,descriptive only; inference is paired by seed
D,REPEAT,1,10,0.1,0.01787574951572113,0.4041563854975721,descriptive only; inference is paired by seed
D,DEPEND,9,10,0.9,0.5958436145024278,0.9821242504842788,descriptive only; inference is paired by seed
N,DROP,5,10,0.5,0.23658959361548731,0.7634104063845126,descriptive only; inference is paired by seed
N,RETRACT,0,10,0.0,0.0,0.2775401687666165,descriptive only; inference is paired by seed
N,REPEAT,2,10,0.2,0.05668094798069326,0.5098431532792767,descriptive only; inference is paired by seed
N,DEPEND,3,10,0.3,0.10778928748621183,0.6032267800204347,descriptive only; inference is paired by seed
V,DROP,1,10,0.1,0.01787574951572113,0.4041563854975721,descriptive only; inference is paired by seed
V,RETRACT,0,10,0.0,0.0,0.2775401687666165,descriptive only; inference is paired by seed
V,REPEAT,8,10,0.8,0.49015684672072335,0.9433190520193067,descriptive only; inference is paired by seed
V,DEPEND,1,10,0.1,0.01787574951572113,0.4041563854975721,descriptive only; inference is paired by seed
