s1,a2,s2,count,n,rate
DROP,D,DROP,1,6,0.16666666666666666
DROP,D,RETRACT,0,6,0.0
DROP,D,REPEAT,0,6,0.0
DROP,D,DEPEND,5,6,0.8333333333333334
DROP,N,DROP,5,6,0.8333333333333334
DROP,N,RETRACT,0,6,0.0
DROP,N,REPEAT,1,6,0.16666666666666666
DROP,N,DEPEND,0,6,0.0
DROP,V,DROP,0,6,0.0
DROP,V,RETRACT,1,6,0.16666666666666666
DROP,V,REPEAT,4,6,0.6666666666666666
DROP,V,DEPEND,1,6,0.16666666666666666
RETRACT,D,DROP,0,0,0.0
RETRACT,D,RETRACT,0,0,0.0
RETRACT,D,REPEAT,0,0,0.0
RETRACT,D,DEPEND,0,0,0.0
RETRACT,N,DROP,0,0,0.0
RETRACT,N,RETRACT,0,0,0.0
RETRACT,N,REPEAT,0,0,0.0
RETRACT,N,DEPEND,0,0,0.0
RETRACT,V,DROP,0,0,0.0
RETRACT,V,RETRACT,0,0,0.0
RETRACT,V,REPEAT,0,0,0.0
RETRACT,V,DEPEND,0,0,0.0
REPEAT,D,DROP,6,11,0.5454545454545454
REPEAT,D,RETRACT,0,11,0.0
REPEAT,D,REPEAT,0,11,0.0
REPEAT,D,DEPEND,5,11,0.45454545454545453
REPEAT,N,DROP,8,11,0.7272727272727273
REPEAT,N,RETRACT,0,11,0.0
REPEAT,N,REPEAT,3,11,0.2727272727272727
REPEAT,N,DEPEND,0,11,0.0
REPEAT,V,DROP,1,11,0.09090909090909091
REPEAT,V,RETRACT,0,11,0.0
REPEAT,V,REPEAT,10,11,0.9090909090909091
REPEAT,V,DEPEND,0,11,0.0
DEPEND,D,DROP,3,12,0.25
DEPEND,D,RETRACT,0,12,0.0
DEPEND,D,REPEAT,0,12,0.0
DEPEND,D,DEPEND,9,12,0.75
DEPEND,N,DROP,7,13,0.5384615384615384
DEPEND,N,RETRACT,0,13,0.0
DEPEND,N,REPEAT,1,13,0.07692307692307693
DEPEND,N,DEPEND,5,13,0.38461538461538464
DEPEND,V,DROP,0,13,0.0
DEPEND,V,RETRACT,0,13,0.0
DEPEND,V,REPEAT,10,13,0.7692307692307693
DEPEND,V,DEPEND,3,13,0.23076923076923078
