estimand,mean,ci_low,ci_high,n_seeds
"P_active|DROP,D",0.0,0.0,0.0,0.0
"P_active|DROP,N",0.0,0.0,0.0,0.0
"P_active|DROP,V",0.0,0.0,0.0,0.0
"P_active|RETRACT,D",1.0,1.0,1.0,1.0
"P_active|RETRACT,N",0.0,0.0,0.0,1.0
"P_active|RETRACT,V",0.0,0.0,0.0,1.0
"P_active|REPEAT,D",1.0,1.0,1.0,6.0
"P_active|REPEAT,N",0.375,0.1111111111111111,0.7142857142857143,6.0
"P_active|REPEAT,V",1.0,1.0,1.0,6.0
"P_active|DEPEND,D",1.0,1.0,1.0,10.0
"P_active|DEPEND,N",0.7619047619047619,0.5555555555555556,0.9166666666666666,10.0
"P_active|DEPEND,V",0.9047619047619048,0.6842105263157895,1.0,10.0
