s1,a2,s2,count,n,rate
DROP,D,DROP,0,0,0.0
DROP,D,RETRACT,0,0,0.0
DROP,D,REPEAT,0,0,0.0
DROP,D,DEPEND,0,0,0.0
DROP,N,DROP,0,0,0.0
DROP,N,RETRACT,0,0,0.0
DROP,N,REPEAT,0,0,0.0
DROP,N,DEPEND,0,0,0.0
DROP,V,DROP,0,0,0.0
DROP,V,RETRACT,0,0,0.0
DROP,V,REPEAT,0,0,0.0
DROP,V,DEPEND,0,0,0.0
RETRACT,D,DROP,0,1,0.0
RETRACT,D,RETRACT,0,1,0.0
RETRACT,D,REPEAT,0,1,0.0
RETRACT,D,DEPEND,1,1,1.0
RETRACT,N,DROP,1,1,1.0
RETRACT,N,RETRACT,0,1,0.0
RETRACT,N,REPEAT,0,1,0.0
RETRACT,N,DEPEND,0,1,0.0
RETRACT,V,DROP,0,1,0.0
RETRACT,V,RETRACT,1,1,1.0
RETRACT,V,REPEAT,0,1,0.0
RETRACT,V,DEPEND,0,1,0.0
REPEAT,D,DROP,0,8,0.0
REPEAT,D,RETRACT,0,8,0.0
REPEAT,D,REPEAT,0,8,0.0
REPEAT,D,DEPEND,8,8,1.0
REPEAT,N,DROP,5,8,0.625
REPEAT,N,RETRACT,0,8,0.0
REPEAT,N,REPEAT,1,8,0.125
REPEAT,N,DEPEND,2,8,0.25
REPEAT,V,DROP,0,8,0.0
REPEAT,V,RETRACT,0,8,0.0
REPEAT,V,REPEAT,6,8,0.75
REPEAT,V,DEPEND,2,8,0.25
DEPEND,D,DROP,0,21,0.0
DEPEND,D,RETRACT,0,21,0.0
DEPEND,D,REPEAT,1,21,0.047619047619047616
DEPEND,D,DEPEND,20,21,0.9523809523809523
DEPEND,N,DROP,5,21,0.23809523809523808
DEPEND,N,RETRACT,0,21,0.0
DEPEND,N,REPEAT,2,21,0.09523809523809523
DEPEND,N,DEPEND,14,21,0.6666666666666666
DEPEND,V,DROP,2,21,0.09523809523809523
DEPEND,V,RETRACT,0,21,0.0
DEPEND,V,REPEAT,5,21,0.23809523809523808
DEPEND,V,DEPEND,14,21,0.6666666666666666
